bn:00014445n	[wn2020:02964806n, wn:02933112n]	cabinet	[A piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display]
bn:00045824n	[wn:04618070n, wn2020:04664060n]	individuality	[The distinct personality of an individual regarded as a persisting entity]
bn:00045824n	[wn:04618070n, wn2020:04664060n]	personal_identity	[]
bn:00045809n	[wn:05972103n, wn2020:06028956n]	idealism	[(philosophy) the philosophical theory that ideas are the only reality]
bn:00045826n	[wn2020:13924089n, wn:13786748n]	identity_element	[]
bn:00045826n	[wn2020:13924089n, wn:13786748n]	identity	[]
bn:00045826n	[wn2020:13924089n, wn:13786748n]	identity_operator	[An operator that leaves unchanged the element on which it operates]
bn:00045841n	[wn:07154330n, wn2020:07245194n]	phrase	[An expression whose meanings cannot be inferred from the meanings of the words that make it up]
bn:00045841n	[wn:07154330n, wn2020:07245194n]	set_phrase	[]
bn:00045841n	[wn:07154330n, wn2020:07245194n]	phrasal_idiom	[]
bn:00045841n	[wn:07154330n, wn2020:07245194n]	idiomatic_expression	[]
bn:00045841n	[wn:07154330n, wn2020:07245194n]	idiom	[]
bn:00045855n	[wn:10198437n, wn2020:10310014n]	matinee_idol	[Someone who is adored blindly and excessively]
bn:00045855n	[wn:10198437n, wn2020:10310014n]	idol	[]
bn:00045857n	[wn:10198602n, wn2020:10310179n]	idol_worshiper	[A person who worships idols]
bn:00045857n	[wn:10198602n, wn2020:10310179n]	idoliser	[]
bn:00045857n	[wn:10198602n, wn2020:10310179n]	idolizer	[]
bn:00045857n	[wn:10198602n, wn2020:10310179n]	idolater	[]
bn:00045860n	[wn:10198832n, wn2020:10310409n]	idoliser	[A lover blind with admiration and devotion]
bn:00045860n	[wn:10198832n, wn2020:10310409n]	idolizer	[]
bn:00045854n	[wn:15087904n, wn2020:15232635n]	idocrase	[A green or yellow or brown mineral consisting of a hydrated silicate; it occurs as crystals in limestone and is used a gemstone]
bn:00045854n	[wn:15087904n, wn2020:15232635n]	vesuvian	[]
bn:00045854n	[wn:15087904n, wn2020:15232635n]	vesuvianite	[]
bn:00045834n	[wn2020:06272215n, wn:06212839n]	political_orientation	[]
bn:00045834n	[wn2020:06272215n, wn:06212839n]	political_theory	[An orientation that characterizes the thinking of a group or nation]
bn:00045834n	[wn2020:06272215n, wn:06212839n]	ideology	[]
bn:00045838n	[wn2020:08443054n, wn:08345613n]	israeli_defense_force	[]
bn:00045838n	[wn2020:08443054n, wn:08345613n]	idf	[The ground and air and naval forces of Israel]
bn:00045856n	[wn2020:01048957n, wn:01044084n]	idol_worship	[The worship of idols; the worship of images that are not God]
bn:00045856n	[wn2020:01048957n, wn:01044084n]	idolatry	[]
bn:00045866n	[wn:15030481n, wn2020:15174958n]	immune_serum_globulin	[]
bn:00045866n	[wn:15030481n, wn2020:15174958n]	ig	[]
bn:00045866n	[wn:15030481n, wn2020:15174958n]	immunoglobulin	[]
bn:00045866n	[wn:15030481n, wn2020:15174958n]	immune_globulin	[A class of proteins produced in lymph tissue in vertebrates and that function as antibodies in the immune response]
bn:00045866n	[wn:15030481n, wn2020:15174958n]	immune_gamma_globulin	[]
bn:00045875n	[wn:15031866n, wn2020:15176343n]	igm	[One of the five major classes of immunoglobulins; involved in fighting blood infections and in triggering production of immunoglobulin G]
bn:00045875n	[wn:15031866n, wn2020:15176343n]	immunoglobulin_m	[]
bn:00045888n	[wn:03682877n, wn2020:03721091n]	ignition_lock	[A restraint incorporated into the ignition switch to prevent the use of a vehicle by persons who do not have the key]
bn:00045888n	[wn:03682877n, wn2020:03721091n]	lock	[]
bn:00045874n	[wn:03560430n, wn2020:03597639n]	iglu	[An Eskimo hut; usually built of blocks (of sod or snow) in the shape of a dome]
bn:00045874n	[wn:03560430n, wn2020:03597639n]	igloo	[]
bn:00045912n	[wn2020:07855311n, wn:07761777n]	ilama	[Whitish tropical fruit with a pinkish tinge related to custard apples; grown in the southern United States]
bn:00045913n	[wn:11696211n, wn2020:11819939n]	ilang-ilang	[Oil distilled from flowers of the ilang-ilang tree; used in perfumery]
bn:00045976n	[wn2020:05822644n, wn:05767733n]	imagination	[]
bn:00045976n	[wn2020:05822644n, wn:05767733n]	imaging	[]
bn:00045976n	[wn2020:05822644n, wn:05767733n]	imagery	[]
bn:00045976n	[wn2020:05822644n, wn:05767733n]	mental_imagery	[The ability to form mental images of things or events]
bn:00045991n	[wn:05647015n, wn2020:05701250n]	imbecility	[Retardation more severe than a moron but not as severe as an idiot]
bn:00045999n	[wn:01020936n, wn2020:01025542n]	imitation	[Copying (or trying to copy) the actions of someone else]
bn:00046007n	[wn2020:04808632n, wn:04761517n]	immateriality	[]
bn:00046007n	[wn2020:04808632n, wn:04761517n]	incorporeality	[The quality of not being physical; not consisting of matter]
bn:00046016n	[wn:01038485n, wn2020:01043358n]	immersion	[A form of baptism in which part or all of a person's body is submerged]
bn:00046026n	[wn:01146288n, wn2020:01151766n]	immobilization	[]
bn:00046026n	[wn:01146288n, wn2020:01151766n]	immobilisation	[]
bn:00046026n	[wn:01146288n, wn2020:01151766n]	immobilizing	[The act of limiting movement or making incapable of movement]
bn:00046023n	[wn2020:08233168n, wn:08136502n]	immigration_and_naturalization_service	[]
bn:00046023n	[wn2020:08233168n, wn:08136502n]	ins	[An agency in the Department of Justice that enforces laws and regulations for the admission of foreign-born persons to the United States]
bn:00046029n	[wn2020:04951340n, wn:04903136n]	immodesty	[The trait of being vain and conceited]
bn:00044322n	[wn2020:03560704n, wn:03523633n]	rocking_horse	[A child's plaything consisting of an imitation horse mounted on rockers; the child straddles it and pretends to ride]
bn:00044322n	[wn2020:03560704n, wn:03523633n]	hobbyhorse	[]
bn:00044322n	[wn2020:03560704n, wn:03523633n]	hobby	[]
bn:00044326n	[wn2020:03560920n, wn:03523849n]	hobnail	[A short nail with a thick head; used to protect the soles of boots]
bn:00044330n	[wn2020:02488251n, wn:02463205n]	hock-joint	[Tarsal joint of the hind leg of hoofed mammals; corresponds to the human ankle]
bn:00044330n	[wn2020:02488251n, wn:02463205n]	hock	[]
bn:00044329n	[wn:07897200n, wn2020:07991237n]	hock	[Any of several white wines from the Rhine River valley in Germany (`hock' is British usage)]
bn:00044329n	[wn:07897200n, wn2020:07991237n]	rhenish	[]
bn:00044329n	[wn:07897200n, wn2020:07991237n]	rhine_wine	[]
bn:00044336n	[wn:04019541n, wn2020:04061507n]	hockey_puck	[A vulcanized rubber disk 3 inches in diameter that is used instead of a ball in ice hockey]
bn:00044336n	[wn:04019541n, wn2020:04061507n]	puck	[]
bn:00044349n	[wn2020:03561662n, wn:03524574n]	hoe	[A tool with a flat blade attached at right angles to a long handle]
bn:00044392n	[wn2020:03562340n, wn:03525252n]	hold	[]
bn:00044392n	[wn2020:03562340n, wn:03525252n]	keep	[A cell in a jail or prison]
bn:00044414n	[wn2020:03564088n, wn:03527000n]	hole_card	[(poker) a playing card dealt face down and not revealed until the showdown]
bn:00044452n	[wn:03527243n, wn2020:03564331n]	hologram	[]
bn:00044452n	[wn:03527243n, wn2020:03564331n]	holograph	[The intermediate photograph (or photographic record) that contains information for reproducing a three-dimensional image by holography]
bn:00044453n	[wn2020:06470578n, wn:06407221n]	manuscript	[]
bn:00044453n	[wn2020:06470578n, wn:06407221n]	holograph	[Handwritten book or document]
bn:00044458n	[wn2020:13945997n, wn:13808566n]	holonymy	[]
bn:00044458n	[wn2020:13945997n, wn:13808566n]	whole_to_part_relation	[The semantic relation that holds between a whole and its parts]
bn:00044457n	[wn2020:06353495n, wn:06292478n]	holonym	[]
bn:00044457n	[wn2020:06353495n, wn:06292478n]	whole_name	[A word that names the whole of which a given word is a part]
bn:00044460n	[wn2020:02345335n, wn:02322047n]	trepang	[]
bn:00044460n	[wn2020:02345335n, wn:02322047n]	holothuria_edulis	[Of warm coasts from Australia to Asia; used as food especially by Chinese]
bn:00044464n	[wn2020:03564653n, wn:03527565n]	holster	[A belt with loops or slots for carrying small hand tools]
bn:00044465n	[wn2020:08684098n, wn:08585056n]	holy_place	[]
bn:00044465n	[wn2020:08684098n, wn:08585056n]	sanctum	[]
bn:00044465n	[wn2020:08684098n, wn:08585056n]	holy	[A sacred place of pilgrimage]
bn:00044463n	[wn:03527444n, wn2020:03564532n]	holster	[A sheath (usually leather) for carrying a handgun]
bn:00044461n	[wn2020:02344817n, wn:02321529n]	sea_cucumber	[]
bn:00044461n	[wn2020:02344817n, wn:02321529n]	holothurian	[Echinoderm having a flexible sausage-shaped body, tentacles surrounding the mouth and tube feet; free-living mud feeders]
bn:00044470n	[wn:10316527n, wn2020:10428271n]	military_chaplain	[]
bn:00044470n	[wn:10316527n, wn2020:10428271n]	padre	[]
bn:00044470n	[wn:10316527n, wn2020:10428271n]	holy_joe	[]
bn:00044470n	[wn:10316527n, wn2020:10428271n]	sky_pilot	[A chaplain in one of the military services]
bn:00044473n	[wn:13950812n, wn2020:14090172n]	holy_order	[]
bn:00044473n	[wn:13950812n, wn2020:14090172n]	order	[(usually plural) the status or rank or office of a Christian clergyman in an ecclesiastical hierarchy]
bn:00044486n	[wn2020:09416193n, wn:09305229n]	holystone	[A soft sandstone used for scrubbing the decks of a ship]
bn:00044485n	[wn2020:15327442n, wn:15181556n]	holy_year	[(Roman Catholic Church) a period of remission from sin (usually granted every 25 years)]
bn:00044489n	[wn2020:03566074n, wn:03528901n]	home_plate	[]
bn:00044489n	[wn2020:03566074n, wn:03528901n]	home_base	[]
bn:00044489n	[wn2020:03566074n, wn:03528901n]	home	[]
bn:00044489n	[wn2020:03566074n, wn:03528901n]	plate	[(baseball) base consisting of a rubber slab where the batter stands; it must be touched by a base runner in order to score]
bn:00044492n	[wn2020:03565219n, wn:03528100n]	home	[]
bn:00044492n	[wn2020:03565219n, wn:03528100n]	nursing_home	[]
bn:00044492n	[wn2020:03565219n, wn:03528100n]	rest_home	[An institution where people are cared for]
bn:00044559n	[wn2020:10755094n, wn:10643218n]	nester	[Someone who settles lawfully on government land with the intent to acquire title to it]
bn:00044559n	[wn2020:10755094n, wn:10643218n]	squatter	[]
bn:00044559n	[wn2020:10755094n, wn:10643218n]	homesteader	[]
bn:00044566n	[wn:06183518n, wn2020:06242788n]	homiletics	[The branch of theology that deals with sermons and homilies]
bn:00044563n	[wn:00729108n, wn2020:00732372n]	preparation	[Preparatory school work done outside school (especially at home)]
bn:00044563n	[wn:00729108n, wn2020:00732372n]	homework	[]
bn:00044563n	[wn:00729108n, wn2020:00732372n]	prep	[]
bn:00044573n	[wn:02471072n, wn2020:02496118n]	superfamily_hominoidea	[Anthropoid apes and human beings]
bn:00044573n	[wn:02471072n, wn2020:02496118n]	hominoidea	[]
bn:00044565n	[wn:00220023n, wn2020:00221532n]	homicide	[The killing of a human being by another human being]
bn:00044557n	[wn:03529629n, wn2020:03566802n]	homestead	[Dwelling that is usually a farmhouse and adjoining land]
bn:00044575n	[wn:07857731n, wn2020:07951517n]	hoummos	[]
bn:00044575n	[wn:07857731n, wn2020:07951517n]	humous	[A thick spread made from mashed chickpeas, tahini, lemon juice and garlic; used especially as a dip for pita; originated in the Middle East]
bn:00044575n	[wn:07857731n, wn2020:07951517n]	humus	[]
bn:00044575n	[wn:07857731n, wn2020:07951517n]	hommos	[]
bn:00044575n	[wn:07857731n, wn2020:07951517n]	hummus	[]
bn:00044588n	[wn:04769234n, wn2020:04816441n]	homogeneity	[The quality of being of uniform throughout in composition or structure]
bn:00044597n	[wn2020:02307366n, wn:02284611n]	homona_coffearia	[Small Indian moth infesting e.g. tea and coffee plants]
bn:00044597n	[wn2020:02307366n, wn:02284611n]	tea_tortrix	[]
bn:00044597n	[wn2020:02307366n, wn:02284611n]	tortrix	[]
bn:00044599n	[wn:13808981n, wn2020:13946412n]	homonymy	[The relation between two words that are spelled the same way but differ in meaning or the relation between two words that are pronounced the same way but differ in meaning]
bn:00044598n	[wn:06292649n, wn2020:06353666n]	homonym	[Two words are homonyms if they are pronounced or spelled the same way but have different meanings]
bn:00044624n	[wn2020:12341483n, wn:12215210n]	protea_mellifera	[Australian shrub whose flowers yield honey copiously]
bn:00044624n	[wn2020:12341483n, wn:12215210n]	honeyflower	[]
bn:00044624n	[wn2020:12341483n, wn:12215210n]	honey-flower	[]
bn:00044638n	[wn2020:01549996n, wn:01538955n]	honeycreeper	[Small bright-colored tropical American songbird with a curved bill for sucking nectar]
bn:00044685n	[wn2020:02175062n, wn:02153959n]	hoof	[The foot of an ungulate mammal]
bn:00044683n	[wn:06245816n, wn2020:06305892n]	hoodooism	[A religious cult practiced chiefly in Caribbean countries (especially Haiti); involves witchcraft and animistic deities]
bn:00044683n	[wn:06245816n, wn2020:06305892n]	vodoun	[]
bn:00044683n	[wn:06245816n, wn2020:06305892n]	voodooism	[]
bn:00044683n	[wn:06245816n, wn2020:06305892n]	voodoo	[]
bn:00044693n	[wn:00135799n, wn2020:00137180n]	hook	[A short swinging punch delivered from the side with the elbow bent]
bn:00044701n	[wn:10184505n, wn2020:10296080n]	hooker	[(rugby) the player in the middle of the front row of the scrum who tries to capture the ball with the foot]
bn:00044700n	[wn2020:10296258n, wn:10184683n]	hooker	[A golfer whose shots typically curve left (for right-handed golfers)]
bn:00044694n	[wn2020:00112739n, wn:00111358n]	hook_shot	[]
bn:00044694n	[wn2020:00112739n, wn:00111358n]	hook	[A basketball shot made over the head with the hand that is farther from the basket]
bn:00044705n	[wn:03533654n, wn2020:03570845n]	hookup	[A device providing a connection between a power source and a user]
bn:00044706n	[wn2020:01952000n, wn:01933151n]	hookworm	[Parasitic bloodsucking roundworms having hooked mouth parts to fasten to the intestinal wall of human and other hosts]
bn:00044716n	[wn:06692973n, wn2020:06759610n]	hurrah	[]
bn:00044716n	[wn:06692973n, wn2020:06759610n]	hooray	[A victory cheer]
bn:00044725n	[wn:03534776n, wn2020:03571967n]	hoover	[A kind of vacuum cleaner]
bn:00044715n	[wn2020:01846381n, wn:01829869n]	hoopoe	[]
bn:00044715n	[wn2020:01846381n, wn:01829869n]	hoopoo	[Any of several crested Old World birds with a slender downward-curved bill]
bn:00044727n	[wn:00120010n, wn2020:00121391n]	hop	[The act of hopping; jumping upward or forward (especially on one foot)]
bn:00044729n	[wn2020:07540856n, wn:07449548n]	hop	[]
bn:00044729n	[wn2020:07540856n, wn:07449548n]	record_hop	[An informal dance where popular music is played]
bn:00044728n	[wn2020:12524228n, wn:12397864n]	hop	[]
bn:00044728n	[wn2020:12524228n, wn:12397864n]	hops	[Twining perennials having cordate leaves and flowers arranged in conelike spikes; the dried flowers of this plant are used in brewing to add the characteristic bitter taste to beer]
bn:00044737n	[wn2020:07633329n, wn:07541053n]	hope	[The general feeling that some desire will be fulfilled]
bn:00044740n	[wn:04848262n, wn2020:04896069n]	hope	[One of the three Christian virtues]
bn:00044732n	[wn2020:11876707n, wn:11752937n]	hop_clover	[]
bn:00044732n	[wn2020:11876707n, wn:11752937n]	shamrock	[]
bn:00044732n	[wn2020:11876707n, wn:11752937n]	lesser_yellow_trefoil	[]
bn:00044732n	[wn2020:11876707n, wn:11752937n]	trifolium_dubium	[Clover native to Ireland with yellowish flowers; often considered the true or original shamrock]
bn:00044751n	[wn2020:03572475n, wn:03535284n]	hopper	[Funnel-shaped receptacle; contents pass by gravity into a receptacle below]
bn:00044746n	[wn:09656547n, wn2020:09766857n]	hopi	[A member of the Shoshonean people of northeastern Arizona]
bn:00044761n	[wn:12854048n, wn2020:12982977n]	horehound	[Any of various aromatic herbs of the genus Marrubium]
bn:00044762n	[wn:07606419n, wn2020:07699257n]	horehound	[A candy that is flavored with an extract of the horehound plant]
bn:00044764n	[wn2020:08757818n, wn:08658118n]	horizon	[A specific layer or stratum of soil or subsoil in a vertical cross section of land]
bn:00044774n	[wn:03537085n, wn2020:03574276n]	horn	[A noisemaker (as at parties or games) that makes a loud noise when you blow through it]
bn:00044781n	[wn:03536761n, wn2020:03573952n]	horn	[An alarm device that makes a loud warning sound]
bn:00044775n	[wn2020:01332847n, wn:01325417n]	horn	[One of the bony outgrowths on the heads of certain ungulates]
bn:00044784n	[wn2020:12413111n, wn:12286826n]	hornbeam	[Any of several trees or shrubs of the genus Carpinus]
bn:00044806n	[wn:11538820n, wn2020:11663650n]	hornwort	[Liverworts with slender hornlike capsules]
bn:00044818n	[wn:07582277n, wn2020:07674925n]	hors_d'oeuvre	[A dish served as an appetizer before the main meal]
bn:00044819n	[wn2020:03662488n, wn:03624767n]	knight	[]
bn:00044819n	[wn2020:03662488n, wn:03624767n]	horse	[A chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa)]
bn:00044845n	[wn2020:12624727n, wn:12497669n]	jerusalem_thorn	[]
bn:00044845n	[wn2020:12624727n, wn:12497669n]	horsebean	[]
bn:00044845n	[wn2020:12624727n, wn:12497669n]	parkinsonia_aculeata	[Large shrub or shrubby tree having sharp spines and pinnate leaves with small deciduous leaflets and sweet-scented racemose yellow-orange flowers; grown as ornamentals or hedging or emergency food for livestock; tropical America but naturalized in southern United States]
bn:00044844n	[wn2020:00300785n, wn:00299217n]	riding	[]
bn:00044844n	[wn2020:00300785n, wn:00299217n]	horseback_riding	[Travel by being carried on horseback]
bn:00044887n	[wn2020:03577458n, wn:03540267n]	hosiery	[]
bn:00044887n	[wn2020:03577458n, wn:03540267n]	hose	[Socks and stockings and tights collectively (the British include underwear)]
bn:00044889n	[wn2020:03577066n, wn:03539875n]	hose	[]
bn:00044889n	[wn2020:03577066n, wn:03539875n]	hosepipe	[A flexible pipe for conveying a liquid or gas]
bn:00044893n	[wn:03540476n, wn2020:03577667n]	hospice	[A lodging for travelers (especially one kept by a monastic order)]
bn:00044898n	[wn2020:10493614n, wn:10381804n]	orderly	[]
bn:00044898n	[wn2020:10493614n, wn:10381804n]	hospital_attendant	[A male hospital attendant who has general duties that do not involve the medical treatment of patients]
bn:00044907n	[wn2020:15264582n, wn:15119185n]	hospitalization	[A period of time when you are confined to a hospital]
bn:00044906n	[wn2020:04595662n, wn:04549919n]	ward	[]
bn:00044906n	[wn2020:04595662n, wn:04549919n]	hospital_ward	[Block forming a division of a hospital (or a suite of rooms) shared by patients who need a similar kind of care]
bn:00044910n	[wn2020:10298705n, wn:10187130n]	host	[A person who invites guests to a social event (such as a party in his or her own home) and who is responsible for them while they are there]
bn:00044911n	[wn:01385527n, wn2020:01394476n]	host	[An animal or plant that nourishes and supports a parasite; it does not benefit and is often harmed by the association]
bn:00044921n	[wn:10187491n, wn2020:10299066n]	hostess	[A woman host]
bn:00044919n	[wn2020:10299565n, wn:10187990n]	hotelier	[]
bn:00044919n	[wn2020:10299565n, wn:10187990n]	hotelkeeper	[]
bn:00044919n	[wn2020:10299565n, wn:10187990n]	hotel_manager	[]
bn:00044919n	[wn2020:10299565n, wn:10187990n]	hotelman	[]
bn:00044919n	[wn2020:10299565n, wn:10187990n]	hosteller	[An owner or manager of hotels]
bn:00044915n	[wn2020:07776216n, wn:07683138n]	host	[A technical name for the bread used in the service of Mass or Holy Communion]
bn:00044918n	[wn:03541537n, wn2020:03578728n]	hostel	[]
bn:00044918n	[wn:03541537n, wn2020:03578728n]	youth_hostel	[]
bn:00044918n	[wn:03541537n, wn2020:03578728n]	student_lodging	[Inexpensive supervised lodging (especially for youths on bicycling trips)]
bn:00044917n	[wn2020:10299132n, wn:10187557n]	hostage	[]
bn:00044917n	[wn2020:10299132n, wn:10187557n]	surety	[A prisoner who is held by one party to insure that another party will meet specified terms]
bn:00045002n	[wn2020:04462325n, wn:04417809n]	theater	[]
bn:00045002n	[wn2020:04462325n, wn:04417809n]	theatre	[]
bn:00045002n	[wn2020:04462325n, wn:04417809n]	house	[A building where theatrical performances or motion-picture shows can be presented]
bn:00045031n	[wn2020:00582666n, wn:00580370n]	housecleaning	[The act of cleaning the rooms and furnishings of a house]
bn:00045032n	[wn2020:03858040n, wn:03817647n]	negligee	[]
bn:00045032n	[wn2020:03858040n, wn:03817647n]	neglige	[]
bn:00045032n	[wn2020:03858040n, wn:03817647n]	peignoir	[]
bn:00045032n	[wn2020:03858040n, wn:03817647n]	wrapper	[]
bn:00045032n	[wn2020:03858040n, wn:03817647n]	housecoat	[A loose dressing gown for women]
bn:00045055n	[wn2020:08648460n, wn:08549480n]	housing_development	[A residential area of similar dwellings built by property developers and usually under a single management]
bn:00045052n	[wn:03546340n, wn2020:03583531n]	housing	[]
bn:00045052n	[wn:03546340n, wn2020:03583531n]	living_accommodations	[Structures collectively in which people are housed]
bn:00045052n	[wn:03546340n, wn2020:03583531n]	lodging	[]
bn:00045064n	[wn:03547054n, wn2020:03584245n]	hut	[]
bn:00045064n	[wn:03547054n, wn2020:03584245n]	hovel	[]
bn:00045064n	[wn:03547054n, wn2020:03584245n]	shack	[]
bn:00045064n	[wn:03547054n, wn2020:03584245n]	hutch	[]
bn:00045064n	[wn:03547054n, wn2020:03584245n]	shanty	[Small crude shelter used as a dwelling]
bn:00045074n	[wn2020:07217530n, wn:07126734n]	howl	[]
bn:00045074n	[wn2020:07217530n, wn:07126734n]	ululation	[A long loud emotional utterance]
bn:00045074n	[wn2020:07217530n, wn:07126734n]	howling	[]
bn:00045078n	[wn:00076323n, wn2020:00077678n]	howler	[A glaring blunder]
bn:00045077n	[wn:02492660n, wn2020:02518104n]	howler	[Monkey of tropical South American forests having a loud howling cry]
bn:00045077n	[wn:02492660n, wn2020:02518104n]	howler_monkey	[]
bn:00045081n	[wn:10715030n, wn2020:10827184n]	romp	[]
bn:00045081n	[wn:10715030n, wn2020:10827184n]	tomboy	[]
bn:00045081n	[wn:10715030n, wn2020:10827184n]	hoyden	[A girl who behaves in a boyish manner]
bn:00044994n	[wn:03544360n, wn2020:03581551n]	house	[A dwelling that serves as living quarters for one or more families]
bn:00045073n	[wn2020:03826795n, wn:03786715n]	howitzer	[]
bn:00045073n	[wn2020:03826795n, wn:03786715n]	mortar	[]
bn:00045073n	[wn2020:03826795n, wn:03786715n]	trench_mortar	[A muzzle-loading high-angle gun with a short barrel that fires shells at high elevations for a short range]
bn:00045090n	[wn2020:09782344n, wn:09671808n]	hualapai	[]
bn:00045090n	[wn2020:09782344n, wn:09671808n]	walapai	[]
bn:00045090n	[wn2020:09782344n, wn:09671808n]	hualpai	[A member of a North American people formerly living in the Colorado river valley in Arizona]
bn:00045098n	[wn2020:03584849n, wn:03547658n]	hub	[The central part of a car wheel (or fan or propeller etc) through which the shaft or axle passes]
bn:00045311n	[wn:12458383n, wn2020:12585088n]	hyacinth	[Any of numerous bulbous perennial herbs]
bn:00045316n	[wn:14909703n, wn2020:15052915n]	hyalin	[A glassy translucent substance that occurs in hyaline cartilage or in certain skin conditions]
bn:00045316n	[wn:14909703n, wn2020:15052915n]	hyaline	[]
bn:00045320n	[wn2020:05372950n, wn:05319588n]	hyaloid	[The transparent membrane enveloping the vitreous humor of the eye and separating it from the retina]
bn:00045320n	[wn2020:05372950n, wn:05319588n]	hyaloid_membrane	[]
bn:00045321n	[wn:14909895n, wn2020:15053107n]	hyaluronic_acid	[A viscous mucopolysaccharide found in the connective tissue space and the synovial fluid of movable joints and the humors of the eye; a cementing and protective substance]
bn:00045338n	[wn:01912152n, wn2020:01930170n]	hydra	[Small tubular solitary freshwater hydrozoan polyp]
bn:00045343n	[wn2020:03588107n, wn:03550916n]	hydrant	[A discharge pipe with a valve and spout at which water may be drawn from the mains of waterworks]
bn:00045335n	[wn2020:09608504n, wn:09496261n]	hydra	[(Greek mythology) monster with nine heads; when struck off each head was replaced by two new ones]
bn:00045342n	[wn:04559451n, wn2020:04605096n]	hydrant	[A faucet for drawing water from a pipe or cask]
bn:00045342n	[wn:04559451n, wn2020:04605096n]	tap	[]
bn:00045342n	[wn:04559451n, wn2020:04605096n]	water_tap	[]
bn:00045342n	[wn:04559451n, wn2020:04605096n]	water_faucet	[]
bn:00045345n	[wn:14910440n, wn2020:15053652n]	hydrate	[Any compound that contains water of crystallization]
bn:00045346n	[wn:14935555n, wn2020:15079026n]	hydrated_oxide	[A compound of an oxide with water]
bn:00045346n	[wn:14935555n, wn2020:15079026n]	hydroxide	[]
bn:00045416n	[wn:14320602n, wn2020:14460456n]	hydrothorax	[Accumulation of fluid in the pleural cavity (the space between the lungs and the walls of the chest) often resulting from disease of the heart or kidneys]
bn:00045411n	[wn:04160586n, wn2020:04203977n]	seaplane	[]
bn:00045411n	[wn:04160586n, wn2020:04203977n]	hydroplane	[An airplane that can land on or take off from water]
bn:00045408n	[wn2020:14411636n, wn:14271667n]	rabies	[]
bn:00045408n	[wn2020:14411636n, wn:14271667n]	madness	[An acute viral disease of the nervous system of warm-blooded animals (usually transmitted by the bite of a rabid animal); rabies is fatal if the virus reaches the brain]
bn:00045408n	[wn2020:14411636n, wn:14271667n]	hydrophobia	[]
bn:00045408n	[wn2020:14411636n, wn:14271667n]	lyssa	[]
bn:00045571n	[wn2020:00160431n, wn:00158996n]	suggestion	[The act of inducing hypnosis]
bn:00045571n	[wn2020:00160431n, wn:00158996n]	hypnotism	[]
bn:00045571n	[wn2020:00160431n, wn:00158996n]	mesmerism	[]
bn:00045536n	[wn2020:14674651n, wn:14533796n]	hypersensitivity	[Pathological sensitivity]
bn:00045582n	[wn2020:10307064n, wn:10195487n]	hypochondriac	[A patient with imaginary symptoms and ailments]
bn:00045568n	[wn:04260934n, wn2020:04304816n]	soporific	[]
bn:00045568n	[wn:04260934n, wn2020:04304816n]	hypnotic	[A drug that induces sleep]
bn:00045590n	[wn2020:03592755n, wn:03555564n]	hypodermic_needle	[A hollow needle]
bn:00045604n	[wn:06292973n, wn2020:06353991n]	hyponym	[]
bn:00045604n	[wn:06292973n, wn2020:06353991n]	subordinate	[]
bn:00045604n	[wn:06292973n, wn2020:06353991n]	subordinate_word	[A word that is more specific than a given word]
bn:00045670n	[wn:06832033n, wn2020:06899912n]	i	[The 9th letter of the Roman alphabet]
bn:00045691n	[wn:10196283n, wn2020:10307860n]	iberian	[A native or inhabitant of Iberia in the Caucasus]
bn:00045704n	[wn:08125993n, wn2020:08222659n]	icc	[A former independent federal agency that supervised and set rates for carriers that transported goods and people between states; was terminated in 1995]
bn:00045704n	[wn:08125993n, wn2020:08222659n]	interstate_commerce_commission	[]
bn:00045700n	[wn:08340153n, wn2020:08437594n]	ic	[A group of government agencies and organizations that carry out intelligence activities for the United States government; headed by the Director of Central Intelligence]
bn:00045700n	[wn:08340153n, wn2020:08437594n]	united_states_intelligence_community	[]
bn:00045700n	[wn:08340153n, wn2020:08437594n]	national_intelligence_community	[]
bn:00045700n	[wn:08340153n, wn2020:08437594n]	intelligence_community	[]
bn:00045725n	[wn2020:11592188n, wn:11467543n]	pogonip	[A dense winter fog containing ice particles]
bn:00045725n	[wn2020:11592188n, wn:11467543n]	ice_fog	[]
bn:00045736n	[wn:03558404n, wn2020:03595613n]	ice_skate	[Skate consisting of a boot with a steel blade fitted to the sole]
bn:00045743n	[wn:03556992n, wn2020:03594201n]	iceboat	[A ship with a reinforced bow to break up ice and keep channels open for navigation]
bn:00045743n	[wn:03556992n, wn2020:03594201n]	icebreaker	[]
bn:00045757n	[wn2020:10307981n, wn:10196404n]	iceman	[Someone who cuts and delivers ice]
bn:00045744n	[wn2020:04113638n, wn:04070727n]	refrigerator	[]
bn:00045744n	[wn2020:04113638n, wn:04070727n]	icebox	[White goods in which food can be stored at low temperatures]
bn:00045760n	[wn:14939755n, wn2020:15083259n]	ichor	[(Greek mythology) the rarified fluid said to flow in the veins of the Gods]
bn:00045764n	[wn:01724055n, wn2020:01738861n]	ichthyosauria	[]
bn:00045764n	[wn:01724055n, wn2020:01738861n]	order_ichthyosauria	[Extinct marine reptiles: ichthyosaurs]
bn:00045755n	[wn2020:13818710n, wn:13681993n]	krona	[The basic unit of money in Iceland]
bn:00045755n	[wn2020:13818710n, wn:13681993n]	icelandic_krona	[]
