bn:00014445n	[wn:02933112n, wn2020:02964806n]	cabinet	[A piece of furniture resembling a cupboard with doors and shelves and drawers; for storage or display]
bn:00043811n	[wn:04922338n, wn2020:04971377n]	inheritance	[]
bn:00043804n	[wn2020:12256804n, wn:12130549n]	timothy	[]
bn:00043804n	[wn2020:12256804n, wn:12130549n]	herd's_grass	[]
bn:00043804n	[wn2020:12256804n, wn:12130549n]	phleum_pratense	[Grass with long cylindrical spikes grown in northern United States and Europe for hay]
bn:00043813n	[wn:02407625n, wn2020:02432139n]	hereford	[]
bn:00043813n	[wn:02407625n, wn2020:02432139n]	whiteface	[Hardy English breed of dairy cattle raised extensively in United States]
bn:00043817n	[wn:06212422n, wn2020:06271798n]	heterodoxy	[]
bn:00043817n	[wn:06212422n, wn2020:06271798n]	heresy	[Any opinions or doctrines at variance with the official or orthodox position]
bn:00043817n	[wn:06212422n, wn2020:06271798n]	unorthodoxy	[]
bn:00043818n	[wn:05980412n, wn2020:06037283n]	heresy	[]
bn:00043818n	[wn:05980412n, wn2020:06037283n]	unorthodoxy	[A belief that rejects the orthodox tenets of a religion]
bn:00043936n	[wn2020:10285479n, wn:10173895n]	heterosexual	[]
bn:00043936n	[wn2020:10285479n, wn:10173895n]	heterosexual_person	[]
bn:00043936n	[wn2020:10285479n, wn:10173895n]	straight_person	[]
bn:00043936n	[wn2020:10285479n, wn:10173895n]	straight	[A heterosexual person; someone having a sexual orientation to persons of the opposite sex]
bn:00043918n	[wn:15025397n, wn2020:15169730n]	heterocyclic_compound	[]
bn:00043918n	[wn:15025397n, wn2020:15169730n]	heterocyclic	[]
bn:00043918n	[wn:15025397n, wn2020:15169730n]	heterocycle	[A compound containing a heterocyclic ring]
bn:00043943n	[wn:14103998n, wn2020:14243862n]	transposition	[]
bn:00043943n	[wn:14103998n, wn2020:14243862n]	heterotaxy	[Any abnormal position of the organs of the body]
bn:00043945n	[wn:00006024n, wn2020:00006168n]	heterotroph	[An organism that depends on complex organic substances for nutrition]
bn:00043937n	[wn2020:00861476n, wn:00857664n]	heterosexuality	[]
bn:00043937n	[wn2020:00861476n, wn:00857664n]	heterosexualism	[]
bn:00043937n	[wn2020:00861476n, wn:00857664n]	straightness	[A sexual attraction to (or sexual relations with) persons of the opposite sex]
bn:00043952n	[wn2020:05903833n, wn:05847956n]	heuristic	[]
bn:00043952n	[wn2020:05903833n, wn:05847956n]	heuristic_rule	[]
bn:00043952n	[wn2020:05903833n, wn:05847956n]	heuristic_program	[A commonsense rule (or set of rules) intended to increase the probability of solving some problem]
bn:00043963n	[wn:13915305n, wn2020:14054368n]	hexahedron	[Any polyhedron having six plane faces]
bn:00043959n	[wn:06811419n, wn2020:06878878n]	hexadecimal_number_system	[]
bn:00043959n	[wn:06811419n, wn2020:06878878n]	sexadecimal_number_system	[]
bn:00043959n	[wn:06811419n, wn2020:06878878n]	hexadecimal_system	[A positional system of numeration that uses hexadecimal digits and a radix of sixteen]
bn:00043977n	[wn2020:03554831n, wn:03517760n]	hi-fi	[]
bn:00043977n	[wn2020:03554831n, wn:03517760n]	high_fidelity_sound_system	[Equipment for the reproduction of sound with high fidelity]
bn:00043970n	[wn2020:14831949n, wn:14690186n]	hexose	[A monosaccharide that contains six carbon atoms per molecule]
bn:00043975n	[wn:05057593n, wn2020:05108427n]	high_frequency	[]
bn:00043975n	[wn:05057593n, wn2020:05108427n]	hf	[3 to 30 megahertz]
bn:00043982n	[wn:03517509n, wn2020:03554580n]	hibachi	[A portable brazier that burns charcoal and has a grill for cooking]
bn:00043978n	[wn:01020488n, wn2020:01025094n]	high_fidelity	[]
bn:00043978n	[wn:01020488n, wn2020:01025094n]	hi-fi	[The reproduction of sound with little or no distortion]
bn:00043993n	[wn:14226862n, wn2020:14366811n]	hickey	[]
bn:00043993n	[wn:14226862n, wn2020:14366811n]	love_bite	[A temporary red mark on a person's skin resulting from kissing or sucking by their lover]
bn:00043992n	[wn:14334306n, wn2020:14474138n]	hickey	[]
bn:00043992n	[wn:14334306n, wn2020:14474138n]	pimple	[]
bn:00043992n	[wn:14334306n, wn2020:14474138n]	zit	[A small inflamed elevation of the skin; a pustule or papule; common symptom in acne]
bn:00043996n	[wn2020:12446295n, wn:12320010n]	hickory	[]
bn:00043996n	[wn2020:12446295n, wn:12320010n]	hickory_tree	[American hardwood tree bearing edible nuts]
bn:00043989n	[wn:12179632n, wn2020:12305905n]	rozelle	[]
bn:00043989n	[wn:12179632n, wn2020:12305905n]	roselle	[]
bn:00043989n	[wn:12179632n, wn2020:12305905n]	red_sorrel	[]
bn:00043989n	[wn:12179632n, wn2020:12305905n]	sorrel	[]
bn:00043989n	[wn:12179632n, wn2020:12305905n]	hibiscus_sabdariffa	[East Indian sparsely prickly annual herb or perennial subshrub widely cultivated for its fleshy calyxes used in tarts and jelly and for its bast fiber]
bn:00043989n	[wn:12179632n, wn2020:12305905n]	jamaica_sorrel	[]
bn:00043991n	[wn2020:14499458n, wn:14359459n]	singultus	[(usually plural) the state of having reflex spasms of the diaphragm accompanied by a rapid closure of the glottis producing an audible sound; sometimes a symptom of indigestion]
bn:00043991n	[wn2020:14499458n, wn:14359459n]	hiccough	[]
bn:00043991n	[wn2020:14499458n, wn:14359459n]	hiccup	[]
bn:00043987n	[wn2020:12304117n, wn:12177844n]	hibiscus	[Any plant of the genus Hibiscus]
bn:00044004n	[wn2020:03554718n, wn:03517647n]	hideaway	[]
bn:00044004n	[wn2020:03554718n, wn:03517647n]	retreat	[An area where you can be alone]
bn:00044014n	[wn2020:10281515n, wn:10169937n]	hierarch	[A person who holds a high position in a hierarchy]
bn:00044003n	[wn:00484910n, wn2020:00487031n]	hide-and-seek	[]
bn:00044003n	[wn:00484910n, wn2020:00487031n]	hide_and_go_seek	[A game in which a child covers his eyes while the other players hide then tries to find them]
bn:00044018n	[wn2020:08473314n, wn:08376051n]	hierarchy	[]
bn:00044018n	[wn2020:08473314n, wn:08376051n]	pecking_order	[The organization of people at different ranks in an administrative body]
bn:00044018n	[wn2020:08473314n, wn:08376051n]	power_structure	[]
bn:00044025n	[wn:14520670n, wn2020:14661471n]	high	[An air mass of higher than normal pressure]
bn:00044017n	[wn2020:08475069n, wn:08377806n]	hierarchy	[A series of ordered groupings of people or things within a system]
bn:00044019n	[wn2020:06425017n, wn:06362260n]	hieratic_script	[A cursive form of Egyptian hieroglyphics; used especially by the priests]
bn:00044019n	[wn2020:06425017n, wn:06362260n]	hieratic	[]
bn:00044028n	[wn:08409617n, wn2020:08507123n]	senior_high	[]
bn:00044028n	[wn:08409617n, wn2020:08507123n]	senior_high_school	[]
bn:00044028n	[wn:08409617n, wn2020:08507123n]	highschool	[]
bn:00044028n	[wn:08409617n, wn2020:08507123n]	high	[]
bn:00044028n	[wn:08409617n, wn2020:08507123n]	high_school	[A public secondary school usually including grades 9 through 12]
bn:00044102n	[wn2020:03555376n, wn:03518305n]	tallboy	[A tall chest of drawers divided into two sections and supported on four legs]
bn:00044102n	[wn2020:03555376n, wn:03518305n]	highboy	[]
bn:00044103n	[wn:10174330n, wn2020:10285874n]	highbrow	[A person of intellectual or erudite tastes]
bn:00044104n	[wn2020:10787938n, wn:10676018n]	superior	[]
bn:00044104n	[wn2020:10787938n, wn:10676018n]	superordinate	[One of greater rank or station or quality]
bn:00044104n	[wn2020:10787938n, wn:10676018n]	higher-up	[]
bn:00044044n	[wn2020:03556458n, wn:03519387n]	high-rise	[]
bn:00044044n	[wn2020:03556458n, wn:03519387n]	tower_block	[Tower consisting of a multistoried building of offices or apartments]
bn:00044113n	[wn:10175725n, wn2020:10287269n]	hijacker	[Someone who uses force to take over a vehicle (especially an airplane) in order to reach an alternative destination]
bn:00044113n	[wn:10175725n, wn2020:10287269n]	highjacker	[]
bn:00044110n	[wn2020:14088936n, wn:13949576n]	seniority	[]
bn:00044110n	[wn2020:14088936n, wn:13949576n]	higher_status	[]
bn:00044110n	[wn2020:14088936n, wn:13949576n]	senior_status	[]
bn:00044110n	[wn2020:14088936n, wn:13949576n]	higher_rank	[Higher rank than that of others especially by reason of longer service]
bn:00044118n	[wn:10174695n, wn2020:10286239n]	scottish_highlander	[]
bn:00044118n	[wn:10174695n, wn2020:10286239n]	highlander	[]
bn:00044118n	[wn:10174695n, wn2020:10286239n]	highland_scot	[A native of the Highlands of Scotland]
bn:00044122n	[wn2020:03556152n, wn:03519081n]	highlighter	[A cosmetic used to highlight the eyes or cheekbones]
bn:00044114n	[wn:10175507n, wn2020:10287051n]	highwayman	[]
bn:00044114n	[wn:10175507n, wn2020:10287051n]	highjacker	[]
bn:00044114n	[wn:10175507n, wn2020:10287051n]	road_agent	[A holdup man who stops a vehicle and steals from it]
bn:00044114n	[wn:10175507n, wn2020:10287051n]	hijacker	[]
bn:00044144n	[wn2020:03832450n, wn:03792334n]	pitcher's_mound	[(baseball) the slight elevation on which the pitcher stands]
bn:00044144n	[wn2020:03832450n, wn:03792334n]	hill	[]
bn:00044144n	[wn2020:03832450n, wn:03792334n]	mound	[]
bn:00044128n	[wn2020:03557052n, wn:03519981n]	highway	[]
bn:00044128n	[wn2020:03557052n, wn:03519981n]	main_road	[A major road for any form of motor transport]
bn:00044148n	[wn:09303528n, wn2020:09414474n]	hillside	[The side or slope of a hill]
bn:00044137n	[wn:00288970n, wn2020:00290556n]	hike	[]
bn:00044137n	[wn:00288970n, wn2020:00290556n]	tramp	[A long walk usually for exercise or pleasure]
bn:00044137n	[wn:00288970n, wn2020:00290556n]	hiking	[]
bn:00044142n	[wn2020:03832164n, wn:03792048n]	hill	[Structure consisting of an artificial heap or bank usually of earth or stones]
bn:00044142n	[wn2020:03832164n, wn:03792048n]	mound	[]
bn:00044135n	[wn2020:03557564n, wn:03520493n]	hijab	[A headscarf worn by Muslim women; conceals the hair and neck and usually has a face veil that covers the face]
bn:00044152n	[wn2020:11802204n, wn:11678493n]	hilum	[The scar on certain seeds marking its point of attachment to the funicle]
bn:00044160n	[wn:02035656n, wn2020:02055512n]	himantopus_novae-zelandiae	[Blackish stilt of New Zealand sometimes considered a color phase of the white-headed stilt]
bn:00044160n	[wn:02035656n, wn2020:02055512n]	kaki	[]
bn:00044164n	[wn:06241576n, wn2020:06301634n]	hinayana_buddhism	[An offensive name for the early conservative Theravada Buddhism; it died out in India but survived in Sri Lanka and was taken from there to other regions of southwestern Asia]
bn:00044164n	[wn:06241576n, wn2020:06301634n]	hinayana	[]
bn:00044265n	[wn2020:06428225n, wn:06365357n]	historiography	[A body of historical literature]
bn:00044258n	[wn2020:10288694n, wn:10177150n]	historiographer	[A person who is an authority on history and who studies it and writes about it]
bn:00044258n	[wn2020:10288694n, wn:10177150n]	historian	[]
bn:00044272n	[wn:06893885n, wn2020:06961971n]	histrionics	[A performance of a play]
bn:00044272n	[wn:06893885n, wn2020:06961971n]	representation	[]
bn:00044272n	[wn:06893885n, wn2020:06961971n]	theatrical	[]
bn:00044272n	[wn:06893885n, wn2020:06961971n]	theatrical_performance	[]
bn:00044275n	[wn:00125629n, wn2020:00127010n]	hitting	[]
bn:00044275n	[wn:00125629n, wn2020:00127010n]	hit	[]
bn:00044275n	[wn:00125629n, wn2020:00127010n]	striking	[The act of contacting one thing with another]
bn:00044278n	[wn2020:00147196n, wn:00145779n]	hit	[A connection made via the internet to another website]
bn:00044283n	[wn:03522863n, wn2020:03559934n]	hitch	[A connection between a vehicle and the load that it pulls]
bn:00044284n	[wn2020:03559705n, wn:03522634n]	hitch	[A knot that can be undone by pulling against the strain that holds it; a temporary knot]
bn:00044291n	[wn2020:10289760n, wn:10178216n]	striker	[Someone who hits]
bn:00044291n	[wn2020:10289760n, wn:10178216n]	hitter	[]
bn:00044285n	[wn2020:00288342n, wn:00286756n]	hobble	[]
bn:00044285n	[wn2020:00288342n, wn:00286756n]	hitch	[]
bn:00044285n	[wn2020:00288342n, wn:00286756n]	limp	[The uneven manner of walking that results from an injured leg]
bn:00044266n	[wn:00931217n, wn2020:00935493n]	historiography	[The writing of history]
bn:00044299n	[wn2020:07013804n, wn:06937098n]	miao	[A language of uncertain affiliation spoken by the Hmong]
bn:00044299n	[wn2020:07013804n, wn:06937098n]	hmong_language	[]
bn:00044299n	[wn2020:07013804n, wn:06937098n]	hmong	[]
bn:00044297n	[wn:14322248n, wn2020:14462102n]	nettle_rash	[An itchy skin eruption characterized by weals with pale interiors and well-defined red margins; usually the result of an allergic response to insect bites or food or drugs]
bn:00044297n	[wn:14322248n, wn2020:14462102n]	hives	[]
bn:00044297n	[wn:14322248n, wn2020:14462102n]	urticaria	[]
bn:00044297n	[wn:14322248n, wn2020:14462102n]	urtication	[]
bn:00044307n	[wn:02361706n, wn2020:02385962n]	marmota_caligata	[Large North American mountain marmot]
bn:00044307n	[wn:02361706n, wn2020:02385962n]	whistling_marmot	[]
bn:00044307n	[wn:02361706n, wn2020:02385962n]	whistler	[]
bn:00044307n	[wn:02361706n, wn2020:02385962n]	hoary_marmot	[]
bn:00044313n	[wn:03523398n, wn2020:03560469n]	hob	[A hard steel edge tool used to cut gears]
bn:00044298n	[wn:09713764n, wn2020:09824546n]	miao	[A people living traditionally in mountain villages in southern China and adjacent areas of Vietnam and Laos and Thailand; many have emigrated to the United States]
bn:00044298n	[wn:09713764n, wn2020:09824546n]	hmong	[]
bn:00044295n	[wn2020:01344283n, wn:01336718n]	hiv	[The virus that causes acquired immune deficiency syndrome (AIDS); it replicates in and kills the helper T cells]
bn:00044295n	[wn2020:01344283n, wn:01336718n]	human_immunodeficiency_virus	[]
bn:00044268n	[wn:06155567n, wn2020:06214495n]	history	[The discipline that records and interprets past events involving human beings]
bn:00044341n	[wn2020:03561375n, wn:03524287n]	hod	[An open box attached to a long pole handle; bricks or mortar are carried on the shoulder]
bn:00044360n	[wn2020:02437295n, wn:02412787n]	hogg	[A sheep up to the age of one year; one yet to be sheared]
bn:00044360n	[wn2020:02437295n, wn:02412787n]	hogget	[]
bn:00044360n	[wn2020:02437295n, wn:02412787n]	hog	[]
bn:00044331n	[wn:00463543n, wn2020:00465700n]	hockey_game	[A game played on an ice rink by two opposing teams of six skaters each who try to knock a flat round puck into the opponents' goal with angled sticks]
bn:00044331n	[wn:00463543n, wn2020:00465700n]	hockey	[]
bn:00044331n	[wn:00463543n, wn2020:00465700n]	ice_hockey	[]
bn:00044371n	[wn:02590094n, wn2020:02617463n]	pigfish	[]
bn:00044371n	[wn:02590094n, wn2020:02617463n]	orthopristis_chrysopterus	[Found from Long Island southward]
bn:00044371n	[wn:02590094n, wn2020:02617463n]	hogfish	[]
bn:00044367n	[wn:03524840n, wn2020:03561928n]	hogan	[A Navajo lodge covered with earth; traditionally built with the entrance facing east]
bn:00044369n	[wn:09304376n, wn2020:09415322n]	horseback	[A narrow ridge of hills]
bn:00044369n	[wn:09304376n, wn2020:09415322n]	hogback	[]
bn:00044366n	[wn:02608547n, wn2020:02636895n]	lachnolaimus_maximus	[Large wrasse of western Atlantic; head of male resembles a pig's snout]
bn:00044366n	[wn:02608547n, wn2020:02636895n]	hog_snapper	[]
bn:00044366n	[wn:02608547n, wn2020:02636895n]	hogfish	[]
bn:00044376n	[wn:03524976n, wn2020:03562064n]	hogshead	[A large cask especially one holding 63 gals]
bn:00044380n	[wn2020:12307158n, wn:12180885n]	hoheria_populnea	[Small tree or shrub of New Zealand having a profusion of axillary clusters of honey-scented paper-white flowers and whose bark is used for cordage]
bn:00044380n	[wn2020:12307158n, wn:12180885n]	houhere	[]
bn:00044380n	[wn2020:12307158n, wn:12180885n]	ribbonwood	[]
bn:00044380n	[wn2020:12307158n, wn:12180885n]	lacebark	[]
bn:00044382n	[wn:08180190n, wn2020:08277073n]	hoi_polloi	[]
bn:00044382n	[wn:08180190n, wn2020:08277073n]	mass	[]
bn:00044382n	[wn:08180190n, wn2020:08277073n]	masses	[]
bn:00044382n	[wn:08180190n, wn2020:08277073n]	multitude	[]
bn:00044382n	[wn:08180190n, wn2020:08277073n]	the_great_unwashed	[The common people generally]
bn:00044382n	[wn:08180190n, wn2020:08277073n]	people	[]
bn:00044383n	[wn2020:03562162n, wn:03525074n]	hoist	[Lifting device for raising heavy or cumbersome objects]
bn:00044386n	[wn:06920756n, wn2020:06991622n]	hoka	[A family of Amerindian languages spoken in California]
bn:00044386n	[wn:06920756n, wn2020:06991622n]	hokan	[]
bn:00044394n	[wn2020:03562542n, wn:03525454n]	holder	[A holding device]
bn:00044403n	[wn2020:10292167n, wn:10180580n]	holdout	[A negotiator who hopes to gain concessions by refusing to come to terms]
bn:00044405n	[wn:00780466n, wn2020:00784177n]	holdout	[The act of hiding playing cards in a gambling game so they are available for personal use later]
bn:00044410n	[wn:09304750n, wn2020:09415714n]	hole	[]
bn:00044410n	[wn:09304750n, wn2020:09415714n]	hollow	[A depression hollowed out of solid matter]
bn:00044415n	[wn:15137890n, wn2020:15283662n]	vacation	[]
bn:00044415n	[wn:15137890n, wn2020:15283662n]	holiday	[Leisure time away from work devoted to rest or pleasure]
bn:00044417n	[wn:08640531n, wn2020:08740258n]	resort	[]
bn:00044417n	[wn:08640531n, wn2020:08740258n]	resort_hotel	[]
bn:00044417n	[wn:08640531n, wn2020:08740258n]	holiday_resort	[A hotel located in a resort area]
bn:00044419n	[wn2020:10830285n, wn:10718131n]	tourist	[]
bn:00044419n	[wn2020:10830285n, wn:10718131n]	tourer	[]
bn:00044419n	[wn2020:10830285n, wn:10718131n]	holidaymaker	[Someone who travels for pleasure]
bn:00044420n	[wn:04855138n, wn2020:04902963n]	holiness	[]
bn:00044420n	[wn:04855138n, wn2020:04902963n]	sanctity	[]
bn:00044420n	[wn:04855138n, wn2020:04902963n]	sanctitude	[The quality of being holy]
bn:00044425n	[wn:09305031n, wn2020:09415995n]	hollow	[]
bn:00044425n	[wn:09305031n, wn2020:09415995n]	holler	[A small valley between mountains]
bn:00044435n	[wn2020:12299937n, wn:12173664n]	hollyhock	[Any of various tall plants of the genus Alcea; native to the Middle East but widely naturalized and cultivated for its very large variously colored flowers]
bn:00044416n	[wn:15183428n, wn2020:15329419n]	holiday	[A day on which work is suspended by law or custom]
bn:00044432n	[wn:12756457n, wn2020:12884356n]	holly	[Any tree or shrub of the genus Ilex having red berries and shiny evergreen leaves with prickly edges]
bn:00044516n	[wn2020:08684582n, wn:08585540n]	home_territory	[The area in which an animal normally ranges]
bn:00044516n	[wn2020:08684582n, wn:08585540n]	home_range	[]
bn:00044520n	[wn:00132355n, wn2020:00133736n]	homer	[]
bn:00044520n	[wn:00132355n, wn2020:00133736n]	home_run	[A base hit on which the batter scores a run]
bn:00044528n	[wn:10181547n, wn2020:10293134n]	homeboy	[A fellow male member of a youth gang]
bn:00044530n	[wn2020:00384963n, wn:00383281n]	homecoming	[An annual school or university reunion for graduates]
bn:00044535n	[wn2020:10293777n, wn:10182190n]	homeless_person	[Someone unfortunate without housing]
bn:00044535n	[wn2020:10293777n, wn:10182190n]	homeless	[]
bn:00044540n	[wn2020:01139510n, wn:01134244n]	homemaking	[The management of a household]
bn:00044549n	[wn2020:13752636n, wn:13617046n]	homer	[]
bn:00044549n	[wn2020:13752636n, wn:13617046n]	kor	[An ancient Hebrew unit of capacity equal to 10 baths or 10 ephahs]
bn:00044554n	[wn2020:03566617n, wn:03529444n]	homespun	[A rough loosely woven fabric originally made with yarn that was spun at home]
bn:00044551n	[wn2020:01830524n, wn:01814921n]	homer	[Pigeon trained to return home]
bn:00044551n	[wn2020:01830524n, wn:01814921n]	homing_pigeon	[]
bn:00044571n	[wn:02471762n, wn2020:02496808n]	hominid	[A primate of the family Hominidae]
bn:00044141n	[wn:09303008n, wn2020:09413954n]	hill	[A local and well-defined elevation of the land]
bn:00043339n	[wn:03505504n, wn2020:03542447n]	headscarf	[A kerchief worn over the head and tied under the chin]
bn:00043357n	[wn:13491616n, wn2020:13625799n]	healing	[The natural process by which the body repairs itself]
bn:00043362n	[wn:03506370n, wn2020:03543313n]	health_spa	[]
bn:00043362n	[wn:03506370n, wn2020:03543313n]	spa	[]
bn:00043362n	[wn:03506370n, wn2020:03543313n]	health_club	[A place of business with equipment and facilities for exercising and improving physical fitness]
bn:00043373n	[wn:00882159n, wn2020:00886080n]	listening	[]
bn:00043373n	[wn:00882159n, wn2020:00886080n]	hearing	[The act of hearing attentively]
bn:00043372n	[wn:01199697n, wn2020:01205206n]	hearing	[(law) a proceeding (usually by a court) where evidence is taken for the purpose of determining an issue of fact and reaching a decision based on that evidence]
bn:00043401n	[wn2020:10277767n, wn:10166189n]	heartbreaker	[A charming person who is irresponsible in emotional relationships]
bn:00043399n	[wn2020:05444955n, wn:05391763n]	heart_ventricle	[A chamber of the heart that receives blood from an atrium and pumps it to the arteries]
bn:00043399n	[wn2020:05444955n, wn:05391763n]	ventricle	[]
bn:00043395n	[wn:15280695n, wn2020:15427736n]	pulse	[]
bn:00043395n	[wn:15280695n, wn2020:15427736n]	heart_rate	[The rate at which the heart beats; usually measured to obtain a quick evaluation of a person's health]
bn:00043395n	[wn:15280695n, wn2020:15427736n]	pulse_rate	[]
bn:00043412n	[wn:12389130n, wn2020:12515507n]	viola_ocellata	[Violet of Pacific coast of North America having white petals tinged with yellow and deep violet]
bn:00043412n	[wn:12389130n, wn2020:12515507n]	heartsease	[]
bn:00043412n	[wn:12389130n, wn2020:12515507n]	two-eyed_violet	[]
bn:00043420n	[wn2020:03545986n, wn:03509025n]	heat	[Utility to warm a building]
bn:00043420n	[wn2020:03545986n, wn:03509025n]	heating_system	[]
bn:00043420n	[wn2020:03545986n, wn:03509025n]	heating	[]
bn:00043420n	[wn2020:03545986n, wn:03509025n]	heating_plant	[]
bn:00043411n	[wn:12390681n, wn2020:12517058n]	wild_pansy	[]
bn:00043411n	[wn:12390681n, wn2020:12517058n]	heartsease	[]
bn:00043411n	[wn:12390681n, wn2020:12517058n]	johnny-jump-up	[]
bn:00043411n	[wn:12390681n, wn2020:12517058n]	pink_of_my_john	[]
bn:00043411n	[wn:12390681n, wn2020:12517058n]	love-in-idleness	[]
bn:00043411n	[wn:12390681n, wn2020:12517058n]	viola_tricolor	[A common and long cultivated European herb from which most common garden pansies are derived]
bn:00043428n	[wn2020:14343923n, wn:14204095n]	heatstroke	[]
bn:00043428n	[wn2020:14343923n, wn:14204095n]	heat_hyperpyrexia	[Collapse caused by exposure to excessive heat]
bn:00043415n	[wn:11466043n, wn2020:11590687n]	heat_energy	[A form of energy that is transferred by a difference in temperature]
bn:00043415n	[wn:11466043n, wn2020:11590687n]	heat	[]
bn:00043383n	[wn2020:05441997n, wn:05388805n]	ticker	[The hollow muscular organ located behind the sternum and between the lungs; its rhythmic contractions move the blood through the body]
bn:00043383n	[wn2020:05441997n, wn:05388805n]	pump	[]
bn:00043383n	[wn2020:05441997n, wn:05388805n]	heart	[]
bn:00043447n	[wn2020:12353167n, wn:12226932n]	heath	[A low evergreen shrub of the family Ericaceae; has small bell-shaped pink or purple flowers]
bn:00043452n	[wn2020:13626059n, wn:13491876n]	warming	[The process of becoming warmer; a rising temperature]
bn:00043452n	[wn2020:13626059n, wn:13491876n]	heating	[]
bn:00043459n	[wn:00226951n, wn2020:00228460n]	heave	[]
bn:00043459n	[wn:00226951n, wn2020:00228460n]	retch	[An involuntary spasm of ineffectual vomiting]
bn:00043462n	[wn:05627785n, wn2020:05681806n]	heaven	[The abode of God and the angels]
bn:00043491n	[wn:06987124n, wn2020:07073260n]	hebrew	[The ancient Canaanitic language of the Hebrews that has been revived as the official language of Israel]
bn:00043496n	[wn:08483935n, wn2020:08581900n]	israelites	[The ethnic group claiming descent from Abraham and Isaac (especially from Isaac's son Jacob); the nation whom God chose to receive his revelation and with whom God chose to make a covenant (Exodus 19)]
bn:00043496n	[wn:08483935n, wn2020:08581900n]	hebrews	[]
bn:00043503n	[wn2020:13760409n, wn:13624705n]	hectoliter	[]
bn:00043503n	[wn2020:13760409n, wn:13624705n]	hl	[A metric unit of volume or capacity equal to 100 liters]
bn:00043503n	[wn2020:13760409n, wn:13624705n]	hectolitre	[]
bn:00043502n	[wn:03510987n, wn2020:03547948n]	heliotype	[Duplicator consisting of a gelatin plate from which ink can be taken to make a copy]
bn:00043502n	[wn:03510987n, wn2020:03547948n]	hectograph	[]
bn:00043504n	[wn2020:13795964n, wn:13659604n]	hm	[A metric unit of length equal to 100 meters]
bn:00043504n	[wn2020:13795964n, wn:13659604n]	hectometre	[]
bn:00043504n	[wn2020:13795964n, wn:13659604n]	hectometer	[]
bn:00043492n	[wn2020:09791598n, wn:09681351n]	jew	[]
bn:00043492n	[wn2020:09791598n, wn:09681351n]	israelite	[A person belonging to the worldwide group claiming descent from Jacob (or converted to it) and connected by cultural or religious ties]
bn:00043492n	[wn2020:09791598n, wn:09681351n]	hebrew	[]
bn:00043508n	[wn:13344462n, wn2020:13477945n]	hedging	[Any technique designed to reduce or eliminate financial risk; for example, taking two positions that will offset each other if prices change]
bn:00043508n	[wn:13344462n, wn2020:13477945n]	hedge	[]
bn:00043507n	[wn2020:03548136n, wn:03511175n]	hedgerow	[A fence formed by a row of closely planted shrubs or bushes]
bn:00043507n	[wn2020:03548136n, wn:03511175n]	hedge	[]
bn:00043518n	[wn:10167838n, wn2020:10279416n]	hedger	[Someone who counterbalances one transaction (as a bet) against another in order to protect against loss]
bn:00043515n	[wn2020:02370224n, wn:02346627n]	hedgehog	[Relatively large rodents with sharp erectile bristles mingled with the fur]
bn:00043515n	[wn2020:02370224n, wn:02346627n]	porcupine	[]
bn:00043523n	[wn2020:10279761n, wn:10168183n]	hedonist	[]
bn:00043523n	[wn2020:10279761n, wn:10168183n]	pagan	[]
bn:00043523n	[wn2020:10279761n, wn:10168183n]	pleasure_seeker	[Someone motivated by desires for sensual pleasures]
bn:00043532n	[wn2020:07777051n, wn:07683973n]	heel	[One of the crusty ends of a loaf of bread]
bn:00043530n	[wn:03511426n, wn2020:03548387n]	heel	[The bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation]
bn:00043535n	[wn2020:05078380n, wn:05027837n]	massiveness	[]
bn:00043535n	[wn2020:05078380n, wn:05027837n]	ponderousness	[]
bn:00043535n	[wn2020:05078380n, wn:05027837n]	heft	[]
bn:00043535n	[wn2020:05078380n, wn:05027837n]	heftiness	[]
bn:00043535n	[wn2020:05078380n, wn:05027837n]	ponderosity	[The property of being large in mass]
bn:00043537n	[wn2020:10279946n, wn:10168368n]	hegelian	[A follower of the thought of Hegel]
bn:00043531n	[wn2020:05631755n, wn:05578095n]	heel	[The back part of the human foot]
bn:00043544n	[wn:05137165n, wn2020:05188848n]	height	[]
bn:00043544n	[wn:05137165n, wn2020:05188848n]	tallness	[The vertical dimension of extension; distance from the base of something to the top]
bn:00043545n	[wn:05002352n, wn2020:05052408n]	stature	[]
bn:00043545n	[wn:05002352n, wn2020:05052408n]	height	[(of a standing person) the distance from head to foot]
bn:00043556n	[wn:10671613n, wn2020:10783533n]	successor	[]
bn:00043556n	[wn:10671613n, wn2020:10783533n]	heir	[A person who inherits some title or office]
bn:00043555n	[wn2020:10280162n, wn:10168584n]	heir	[]
bn:00043555n	[wn2020:10280162n, wn:10168584n]	inheritor	[]
bn:00043555n	[wn2020:10280162n, wn:10168584n]	heritor	[A person who is entitled by law or by the terms of a will to inherit the estate of another]
bn:00043560n	[wn2020:10280725n, wn:10169147n]	inheritress	[]
bn:00043560n	[wn2020:10280725n, wn:10169147n]	inheritrix	[A female heir]
bn:00043560n	[wn2020:10280725n, wn:10169147n]	heiress	[]
bn:00043584n	[wn:03512452n, wn2020:03549468n]	heliograph	[An apparatus for sending telegraphic messages by using a mirror to turn the sun's rays off and on]
bn:00043577n	[wn2020:12103460n, wn:11978233n]	helianthus	[Any plant of the genus Helianthus having large flower heads with dark disk florets and showy yellow rays]
